,#hurricanearthur,hurricane arthur,#hurricanebertha,hurricane bertha,#hurricanecristobal,hurricane cristobal,#hurricaneedouard,hurricane edouard,hurricane fay,#hurricanegonzalo,hurricane gonzalo
2014-07-01,6.48577636409112e-08,3.4463808790949823e-07,,,,,,,,,
2014-07-02,6.268381102561746e-07,1.3888464973761298e-06,,,,,,,,,
2014-07-03,1.3287769964038811e-05,2.837158207734882e-05,,,,,,,,,
2014-07-04,7.485300906709964e-06,2.6968537026151918e-05,,,,,,,,,
2014-07-05,2.3119618720676447e-06,1.0975785936222064e-05,,,,,,,,,
2014-07-06,6.702558557438111e-07,3.332136753838688e-06,,,,,,,,,
2014-07-07,3.8976487554129584e-07,1.6342425086033962e-06,,,,,,,,,
2014-07-08,2.0552764781896686e-07,9.666659382538447e-07,,,,,,,,,
2014-07-09,1.7152424695342308e-07,6.230111247323377e-07,,,,,,,,,
2014-07-10,2.3168945176534962e-07,8.249247729669921e-07,,,,,,,,,
2014-07-11,9.26027983875361e-08,3.119955168143337e-07,,,,,,,,,
2014-07-12,4.2033376939225605e-08,8.040331064450736e-08,,,,,,,,,
2014-07-13,,7.964066133605174e-08,,,,,,,,,
2014-07-14,,9.565511553559647e-08,,,,,,,,,
2014-07-15,,7.877920627855074e-08,,,,,,,,,
2014-07-16,,,,,,,,,,,
2014-07-17,,,,,,,,,,,
2014-07-18,,,,,,,,,,,
2014-07-19,,,,,,,,,,,
2014-07-20,,,,,,,,,,,
2014-07-21,,,,,,,,,,,
2014-07-22,,,,,,,,,,,
2014-07-23,,,,,,,,,,,
2014-07-24,,,,,,,,,,,
2014-07-25,,,,,,,,,,,
2014-07-26,,,,,,,,,,,
2014-07-27,,,,,,,,,,,
2014-07-28,,,,,,,,,,,
2014-07-29,,,,,,,,,,,
2014-07-30,,,,,,,,,,,
2014-07-31,,,,,,,,,,,
2014-08-01,,,,,,,,,,,
2014-08-02,,,,,,,,,,,
2014-08-03,,,,,,,,,,,
2014-08-04,,,4.782221772326256e-08,1.4956655914965503e-06,,,,,,,
2014-08-05,,,1.2017156279810475e-07,9.908054261617118e-07,,,,,,,
2014-08-06,,,9.472333128207704e-08,3.927636088359767e-07,,,,,,,
2014-08-07,,,1.3572793729485118e-07,7.052170194488056e-07,,,,,,,
2014-08-08,,,2.3361812363800924e-07,1.090156631645092e-06,,,,,,,
2014-08-09,,,2.7747305630679e-07,1.5207146976727938e-06,,,,,,,
2014-08-10,,,1.1745375126522275e-06,8.289728186528865e-06,,,,,,,
2014-08-11,,,3.89031743322385e-07,1.9679897887007125e-06,,,,,,,
2014-08-12,,,1.2325648474926603e-07,5.673963959595608e-07,,,,,,,
2014-08-13,,,3.5294400677010135e-08,1.4686946712218248e-07,,,,,,,
2014-08-14,,,5.4500168183326695e-08,1.169822434407415e-07,,,,,,,
2014-08-15,,,2.6771142298807738e-08,,,,,,,,
2014-08-16,,,,1.2372574724036165e-07,,,,,,,
2014-08-17,,,,,,,,,,,
2014-08-18,,,,,,,,,,,
2014-08-19,,,,,,,,,,,
2014-08-20,,,,,,,,,,,
2014-08-21,,,,,,,,,,,
2014-08-22,,,,,,,,,,,
2014-08-23,,,,,,,,,,,
2014-08-24,,,,,,,,,,,
2014-08-25,,,,,3.179944731833716e-08,3.076956589075427e-07,,,,,
2014-08-26,,,,,4.564902690882319e-08,1.9759954116111705e-06,,,,,
2014-08-27,,,,,9.322625011984817e-08,1.931418240413936e-06,,,,,
2014-08-28,,,,,1.8620059218491536e-07,1.3545333700266926e-06,,,,,
2014-08-29,,,,,7.287910862048108e-08,1.5076236170376847e-06,,,,,
2014-08-30,,,,,5.432668699327647e-08,1.9130225893480256e-07,,,,,
2014-08-31,,,,,7.226620487983618e-08,1.2956086237078156e-07,,,,,
2014-09-01,,,,,5.0773296558121804e-08,1.1356167515499306e-07,,,,,
2014-09-02,,,,,2.302908521877981e-08,1.4335331268225057e-07,,,,,
2014-09-03,,,,,1.0098289828650487e-07,1.03288213323378e-07,,,,,
2014-09-04,,,,,,,,,,,
2014-09-05,,,,,2.079914430656391e-08,,,,,,
2014-09-06,,,,,,,,,,,
2014-09-07,,,,,,,,,,,
2014-09-08,,,,,,,,,,,
2014-09-09,,,,,,,,,,,
2014-09-10,,,,,,,,,,,
2014-09-11,,,,,,,,,,,
2014-09-12,,,,,,,,,,,
2014-09-13,,,,,,,,,,,
2014-09-14,,,,,,,,4.391724616357759e-07,,,
2014-09-15,,,,,,,3.383171018937358e-08,6.181070673634898e-07,,,
2014-09-16,,,,,,,2.3905583158987127e-08,1.0730150825361661e-06,,,
2014-09-17,,,,,,,3.002672934406114e-08,8.70724145152596e-07,,,
2014-09-18,,,,,,,,5.112149941833151e-07,,,
2014-09-19,,,,,,,,1.068722916557439e-07,,,
2014-09-20,,,,,,,,,,,
2014-09-21,,,,,,,,,,,
2014-09-22,,,,,,,,,,,
2014-09-23,,,,,,,,,,,
2014-09-24,,,,,,,,,,,
2014-09-25,,,,,,,,,,,
2014-09-26,,,,,,,,,,,
2014-09-27,,,,,,,,,,,
2014-09-28,,,,,,,,,,,
2014-09-29,,,,,,,,,,,
2014-09-30,,,,,,,,,,,
2014-10-01,,,,,,,,,,,
2014-10-02,,,,,,,,,,,
2014-10-03,,,,,,,,,,,
2014-10-04,,,,,,,,,,,
2014-10-05,,,,,,,,,,,
2014-10-06,,,,,,,,,,,
2014-10-07,,,,,,,,,,,
2014-10-08,,,,,,,,,,,
2014-10-09,,,,,,,,,,,
2014-10-10,,,,,,,,,,,
2014-10-11,,,,,,,,,,,
2014-10-12,,,,,,,,,1.2825665054596854e-07,,
2014-10-13,,,,,,,,,,6.275244009363649e-08,1.1834219157510103e-06
2014-10-14,,,,,,,,,,2.2283864342964717e-07,3.484720586274392e-06
2014-10-15,,,,,,,,,,1.5145694559568295e-07,3.535870855813465e-06
2014-10-16,,,,,,,,,,5.049485946929671e-07,7.2372523666140755e-06
2014-10-17,,,,,,,,,,1.8500364725306319e-06,1.413362282955371e-05
2014-10-18,,,,,,,,,,5.896681350368459e-07,1.0764112038245994e-05
2014-10-19,,,,,,,,,,3.6029163161388596e-07,4.9172949752223415e-06
2014-10-20,,,,,,,,,,9.928781874727943e-07,5.039433514703719e-06
2014-10-21,,,,,,,,,,6.4676497537410014e-06,8.04107563091121e-06
2014-10-22,,,,,,,,,,1.2565906913085842e-06,2.1738921662633614e-06
2014-10-23,,,,,,,,,,1.1474434429716733e-06,1.961035656673249e-06
2014-10-24,,,,,,,,,,6.796466287796237e-07,9.299199861472729e-07
2014-10-25,,,,,,,,,,3.0249180428705463e-07,4.5589579420499133e-07
2014-10-26,,,,,,,,,,2.436438095475324e-07,4.3736459899516667e-07
2014-10-27,,,,,,,,,,1.4554659304675847e-07,2.773989894576733e-07
2014-10-28,,,,,,,,,,2.8595762067074402e-08,9.729969731958948e-08
2014-10-29,,,,,,,2.8527517522159926e-08,,,,1.1232610572197403e-07
2014-10-30,,,,,,,,,,3.4989527809274325e-08,1.1806119413284592e-07
2014-10-31,,,,,,,,,,,
2014-11-01,,,,,,,,,,,
2014-11-02,,,,,,,,,,,
2014-11-03,,,,,,,,,,,
2014-11-04,,,,,,,,,,,
2014-11-05,,,,,,,,,,,
2014-11-06,,,,,,,,,,,
2014-11-07,,,,,,,,,,,
2014-11-08,,,,,,,,,,,
2014-11-09,,,,,,,,,,,
2014-11-10,,,,,,,,,,,
2014-11-11,,,,,,,,,,,
2014-11-12,,,,,,,,,,,
2014-11-13,,,,,,,,,,,1.3888051154521172e-07
2014-11-14,,,,,,,,,,,
2014-11-15,,,,,,,,,,,
2014-11-16,,,,,,,,,,,
2014-11-17,,,,,,,,,,,
2014-11-18,,,,,,,,,,,
2014-11-19,,,,,,,,,,,
2014-11-20,,,,,,,,,,,
2014-11-21,,,,,,,,,,,
2014-11-22,,,,,,,,,,,
2014-11-23,,,,,,,,,,,
2014-11-24,,,,,,,,,,,
2014-11-25,,,,,,,,,,,
2014-11-26,,,,,,,,,,,
2014-11-27,,,,,,,,,,,
2014-11-28,,,,,,,,,,,
2014-11-29,,,,,,,,,,,
2014-11-30,,,,,,,,,,,
2014-12-01,,,,,,,,,,,
2014-12-02,,,,,,,,,,,
2014-12-03,,,,,,,,,,,
2014-12-04,,,,,,,,,,,
2014-12-05,,,,,,,,,,,
2014-12-06,,,,,,,,,,,
2014-12-07,,,,,,,,,,,
2014-12-08,,,,,,,,,,,
2014-12-09,,,,,,,,,,,
2014-12-10,,,,,,,,,,,
2014-12-11,,,,,,,,,,,
2014-12-12,,,,,,,,,,,
2014-12-13,,,,,,,,,,,
2014-12-14,,,,,,,,,,,
2014-12-15,,,,,,,,,,,
2014-12-16,,,,,,,,,,,
2014-12-17,,,,,,,,,,,
2014-12-18,,,,,,,,,,,
2014-12-19,,,,,,,,,,,
2014-12-20,,,,,,,,,,,
2014-12-21,,,,,,,,,,,
2014-12-22,,,,,,,,,,,
2014-12-23,,,,,,,,,,,
2014-12-24,,,,,,,,,,,
2014-12-25,,,,,,,,,,,
2014-12-26,,,,,,,,,,,
2014-12-27,,,,,,,,,,,
2014-12-28,,,,,,,,,,,
2014-12-29,,,,,,,,,,,
2014-12-30,,,,,,,,,,,
2014-12-31,,,,,,,,,,,
2015-01-01,,,,,,,,,,,
2015-01-02,,,,,,,,,,,
2015-01-03,,,,,,,,,,,
2015-01-04,,,,,,,,,,,
2015-01-05,,,,,,,,,,,
2015-01-06,,,,,,,,,,,
2015-01-07,,,,,,,,,,,
2015-01-08,,,,,,,,,,,
2015-01-09,,,,,,,,,,,
2015-01-10,,,,,,,,,,,
2015-01-11,,,,,,,,,,,
2015-01-12,,,,,,,,,,,
2015-01-13,,,,,,,,,,,
2015-01-14,,,,,,,,,,,
2015-01-15,,,,,,,,,,,
2015-01-16,,,,,,,,,,,
2015-01-17,,,,,,,,,,,
2015-01-18,,,,,,,,,,,
2015-01-19,,,,,,,,,,,
2015-01-20,,,,,,,,,,,
2015-01-21,,,,,,,,,,,
2015-01-22,,,,,,,,,,,
2015-01-23,,,,,,,,,,,
2015-01-24,,,,,,,,,,,
2015-01-25,,,,,,,,,,,
2015-01-26,,,,,,,,,,,
2015-01-27,,,,,,,,,,,
2015-01-28,,,,,,,,,,,
2015-01-29,,,,,,,,,,,
2015-01-30,,,,,,,,,,,
2015-01-31,,,,,,,,,,,
2015-02-01,,,,,,,,,,,
2015-02-02,,,,,,,,,,,
2015-02-03,,,,,,,,,,,
2015-02-04,,,,1.0146807265171679e-07,,,,,,,
